,movie,year,imdb,metascore,votes
0,Avengers: Infinity War,2018,8.5,68,721107
1,Black Panther,2018,7.3,88,548654
2,Deadpool 2,2018,7.7,66,422293
3,Bohemian Rhapsody,2018,8.0,49,389834
4,A Quiet Place,2018,7.5,82,330648
5,Ready Player One,2018,7.5,64,318788
6,Venom,2018,6.7,35,310232
7,Aquaman,2018,7.0,55,308005
8,A Star Is Born,2018,7.7,88,281849
9,Spider-Man: Into the Spider-Verse,2018,8.4,87,271729
10,Ant-Man and the Wasp,2018,7.1,70,264982
11,Green Book,2018,8.2,69,255177
12,Mission: Impossible - Fallout,2018,7.8,86,250698
13,Annihilation,2018,6.9,79,243101
14,Solo: A Star Wars Story,2018,6.9,62,240721
15,Bird Box,2018,6.6,51,236524
16,Jurassic World: Fallen Kingdom,2018,6.2,51,232162
17,Incredibles 2,2018,7.7,80,218038
18,Fantastic Beasts: The Crimes of Grindelwald,2018,6.6,52,183951
19,Hereditary,2018,7.3,87,178795
20,Game Night,2018,6.9,66,173082
21,Tomb Raider,2018,6.3,48,171258
22,BlacKkKlansman,2018,7.5,83,167282
23,Ocean's Eight,2018,6.2,61,155179
24,Red Sparrow,2018,6.6,53,145067
25,First Man,2018,7.3,84,137670
26,The Favourite,2018,7.6,90,134665
27,The Meg,2018,5.7,46,125937
28,Rampage,2018,6.1,45,123224
29,Upgrade,2018,7.5,67,118057
30,Isle of Dogs,2018,7.9,82,116593
31,Roma,2018,7.8,96,115871
32,Searching,2018,7.7,71,112290
33,Crazy Rich Asians,2018,6.9,74,111173
34,Bumblebee,2018,6.8,66,109610
35,The Equalizer 2,2018,6.7,50,107984
36,Bad Times at the El Royale,2018,7.1,60,104628
37,Ralph Breaks the Internet,2018,7.1,71,104461
38,Sicario: Day of the Soldado,2018,7.1,61,104394
39,The Predator,2018,5.4,48,103410
40,The Nun,2018,5.3,46,100870
41,Halloween,2018,6.6,67,100422
42,A Simple Favor,2018,6.8,67,99462
43,The Ballad of Buster Scruggs,2018,7.3,79,96991
44,Maze Runner: The Death Cure,2018,6.2,50,96548
45,Tag,2018,6.5,56,93870
46,Pacific Rim: Uprising,2018,5.6,44,93776
47,Avengers: Infinity War,2018,8.5,68,721107
48,Black Panther,2018,7.3,88,548654
49,Deadpool 2,2018,7.7,66,422293
50,Bohemian Rhapsody,2018,8.0,49,389834
51,A Quiet Place,2018,7.5,82,330648
52,Ready Player One,2018,7.5,64,318788
53,Venom,2018,6.7,35,310232
54,Aquaman,2018,7.0,55,308005
55,A Star Is Born,2018,7.7,88,281849
56,Spider-Man: Into the Spider-Verse,2018,8.4,87,271729
57,Ant-Man and the Wasp,2018,7.1,70,264982
58,Green Book,2018,8.2,69,255177
59,Mission: Impossible - Fallout,2018,7.8,86,250698
60,Annihilation,2018,6.9,79,243101
61,Solo: A Star Wars Story,2018,6.9,62,240721
62,Bird Box,2018,6.6,51,236524
63,Jurassic World: Fallen Kingdom,2018,6.2,51,232162
64,Incredibles 2,2018,7.7,80,218038
65,Fantastic Beasts: The Crimes of Grindelwald,2018,6.6,52,183951
66,Hereditary,2018,7.3,87,178795
67,Game Night,2018,6.9,66,173082
68,Tomb Raider,2018,6.3,48,171258
69,BlacKkKlansman,2018,7.5,83,167282
70,Ocean's Eight,2018,6.2,61,155179
71,Red Sparrow,2018,6.6,53,145067
72,First Man,2018,7.3,84,137670
73,The Favourite,2018,7.6,90,134665
74,The Meg,2018,5.7,46,125937
75,Rampage,2018,6.1,45,123224
76,Upgrade,2018,7.5,67,118057
77,Isle of Dogs,2018,7.9,82,116593
78,Roma,2018,7.8,96,115871
79,Searching,2018,7.7,71,112290
80,Crazy Rich Asians,2018,6.9,74,111173
81,Bumblebee,2018,6.8,66,109610
82,The Equalizer 2,2018,6.7,50,107984
83,Bad Times at the El Royale,2018,7.1,60,104628
84,Ralph Breaks the Internet,2018,7.1,71,104461
85,Sicario: Day of the Soldado,2018,7.1,61,104394
86,The Predator,2018,5.4,48,103410
87,The Nun,2018,5.3,46,100870
88,Halloween,2018,6.6,67,100422
89,A Simple Favor,2018,6.8,67,99462
90,The Ballad of Buster Scruggs,2018,7.3,79,96991
91,Maze Runner: The Death Cure,2018,6.2,50,96548
92,Tag,2018,6.5,56,93870
93,Pacific Rim: Uprising,2018,5.6,44,93776
94,Avengers: Infinity War,2018,8.5,68,721107
95,Black Panther,2018,7.3,88,548654
96,Deadpool 2,2018,7.7,66,422293
97,Bohemian Rhapsody,2018,8.0,49,389834
98,A Quiet Place,2018,7.5,82,330648
